the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.73523755588572 41.91167369206698),609691,1910971.37034,1147045.0033,Traditional,HS,"9, 10, 11, 12","4338 W WABANSIA AVE, 60639",NORTH-GRAND HS
POINT (-87.63541036888441 41.74578123023072),609692,1850726.11682,1174708.08905,Traditional,HS,"9, 10, 11, 12","8147 S VINCENNES AVE, 60620",SIMEON HS
POINT (-87.70733230830211 41.88997720311543),609693,1903119.37259,1154698.22454,Traditional,HS,"9, 10, 11, 12","3223 W FRANKLIN BLVD, 60624",WESTINGHOUSE HS
POINT (-87.7244704643747 41.79146390854953),609694,1867187.9461,1150286.28619,Traditional,HS,"9, 10, 11, 12","4034 W 56TH ST, 60629",HANCOCK HS
POINT (-87.67948421494859 41.97506725585589),609695,1934182.91578,1162044.29876,Traditional,HS,"9, 10, 11, 12","5110 N DAMEN AVE, 60625",AMUNDSEN HS
POINT (-87.72109744629778 41.749375609339616),609698,1851857.85635,1151315.28118,Traditional,HS,"9, 10, 11, 12","3939 W 79TH ST, 60652",BOGAN HS
POINT (-87.70870563225235 41.84855987384877),609704,1888024.25974,1154434.11287,Traditional,HS,"PK, 9, 10, 11, 12","2345 S CHRISTIANA AVE, 60623",FARRAGUT HS
POINT (-87.63757205080117 41.68995072454672),609705,1830377.31828,1174282.58531,Traditional,HS,"9, 10, 11, 12","11220 S WALLACE ST, 60628",FENGER HS
POINT (-87.75416654390553 41.939796767286225),609708,1921184.09139,1141823.50554,Traditional,HS,"9, 10, 11, 12","3235 N LECLAIRE AVE, 60641",FOREMAN HS
POINT (-87.6889539419451 41.79101283821026),609709,1867094.17266,1159972.88296,Traditional,HS,"9, 10, 11, 12","5630 S ROCKWELL ST, 60629",GAGE PARK HS
POINT (-87.6206234362719 41.71837234558635),609710,1840771.66888,1178826.0608,Traditional,HS,"9, 10, 11, 12","9652 S MICHIGAN AVE, 60628",HARLAN HS
POINT (-87.6690892964138 41.77512408303257),609711,1861345.65299,1165434.74441,Traditional,HS,"10, 11, 12","6520 S WOOD ST, 60636",HARPER HS
POINT (-87.60172726636009 41.75374795516494),609712,1853705.47602,1183875.33417,Traditional,HS,"9, 10, 11, 12","7740 S INGLESIDE AVE, 60619",HIRSCH HS
POINT (-87.58661500994783 41.78225692669282),609713,1864129.36166,1187908.68634,Traditional,HS,"9, 10, 11, 12","6220 S STONY ISLAND AVE, 60637",HYDE PARK HS
POINT (-87.69463865990906 41.81872906307833),609715,1877182.22959,1158347.59651,Traditional,HS,"9, 10, 11, 12","4136 S CALIFORNIA AVE, 60632",KELLY HS
